year,month,rainfall_mm
1991,1,6.0
1991,2,2.96
1991,3,5.36
1991,4,6.32
1991,5,6.47
1991,6,5.6
1991,7,1.56
1991,8,4.16
1991,9,2.71
1991,10,7.98
1991,11,2.59
1991,12,2.11
1992,1,1.09
1992,2,1.71
1992,3,1.5
1992,4,6.65
1992,5,4.58
1992,6,5.32
1992,7,2.82
1992,8,2.84
1992,9,3.36
1992,10,4.82
1992,11,3.19
1992,12,3.67
1993,1,5.91
1993,2,1.14
1993,3,2.62
1993,4,3.94
1993,5,6.49
1993,6,8.37
1993,7,2.86
1993,8,3.43
1993,9,2.13
1993,10,2.36
1993,11,2.63
1993,12,2.38
1994,1,1.01
1994,2,3.32
1994,3,6.41
1994,4,6.49
1994,5,6.25
1994,6,6.63
1994,7,2.46
1994,8,2.86
1994,9,3.92
1994,10,4.25
1994,11,11.75
1994,12,3.19
1995,1,1.28
1995,2,3.43
1995,3,5.75
1995,4,8.32
1995,5,7.77
1995,6,4.9
1995,7,2.75
1995,8,1.57
1995,9,3.98
1995,10,4.99
1995,11,4.28
1995,12,2.48
1996,1,2.39
1996,2,3.87
1996,3,6.95
1996,4,7.53
1996,5,6.6
1996,6,3.91
1996,7,2.18
1996,8,3.3
1996,9,5.0
1996,10,3.96
1996,11,5.56
1996,12,2.24
1997,1,1.75
1997,2,1.05
1997,3,7.38
1997,4,15.34
1997,5,4.33
1997,6,2.6
1997,7,2.63
1997,8,3.58
1997,9,1.12
1997,10,4.54
1997,11,10.19
1997,12,9.62
1998,1,6.1
1998,2,4.98
1998,3,2.12
1998,4,4.26
1998,5,6.11
1998,6,2.97
1998,7,2.49
1998,8,1.55
1998,9,1.93
1998,10,3.66
1998,11,1.63
1998,12,0.77
1999,1,3.76
1999,2,0.13
1999,3,8.14
1999,4,5.94
1999,5,2.65
1999,6,1.3
1999,7,2.63
1999,8,1.83
1999,9,1.57
1999,10,2.67
1999,11,6.99
1999,12,2.43
2000,1,0.71
2000,2,1.84
2000,3,2.26
2000,4,4.04
2000,5,2.91
2000,6,1.38
2000,7,1.7
2000,8,2.69
2000,9,3.31
2000,10,5.87
2000,11,5.48
2000,12,6.72
2001,1,5.82
2001,2,3.26
2001,3,9.85
2001,4,5.53
2001,5,7.16
2001,6,2.49
2001,7,2.47
2001,8,3.89
2001,9,4.21
2001,10,4.65
2001,11,6.11
2001,12,1.98
2002,1,5.41
2002,2,2.01
2002,3,6.6
2002,4,8.44
2002,5,5.35
2002,6,2.02
2002,7,1.11
2002,8,2.53
2002,9,1.3
2002,10,5.73
2002,11,8.3
2002,12,7.08
2003,1,2.47
2003,2,2.11
2003,3,5.42
2003,4,7.17
2003,5,6.62
2003,6,4.33
2003,7,2.13
2003,8,2.71
2003,9,2.92
2003,10,2.41
2003,11,4.41
2003,12,4.87
2004,1,3.99
2004,2,3.67
2004,3,3.32
2004,4,7.9
2004,5,3.53
2004,6,1.01
2004,7,1.88
2004,8,2.22
2004,9,3.96
2004,10,2.26
2004,11,4.89
2004,12,5.73
2005,1,4.66
2005,2,1.83
2005,3,7.5
2005,4,5.45
2005,5,5.85
2005,6,1.03
2005,7,1.47
2005,8,1.86
2005,9,2.76
2005,10,2.04
2005,11,2.81
2005,12,1.42
2006,1,2.14
2006,2,3.35
2006,3,5.51
2006,4,6.69
2006,5,5.93
2006,6,2.07
2006,7,1.15
2006,8,1.33
2006,9,2.96
2006,10,4.54
2006,11,12.71
2006,12,10.39
2007,1,5.02
2007,2,4.39
2007,3,4.68
2007,4,5.72
2007,5,4.44
2007,6,1.95
2007,7,2.36
2007,8,2.55
2007,9,4.07
2007,10,2.32
2007,11,4.64
2007,12,3.71
2008,1,2.46
2008,2,3.1
2008,3,8.45
2008,4,4.57
2008,5,3.56
2008,6,1.7
2008,7,2.19
2008,8,2.18
2008,9,2.82
2008,10,6.62
2008,11,6.41
2008,12,1.58
2009,1,2.65
2009,2,1.75
2009,3,3.76
2009,4,8.28
2009,5,6.61
2009,6,2.57
2009,7,1.75
2009,8,2.24
2009,9,3.92
2009,10,3.66
2009,11,4.69
2009,12,9.99
2010,1,4.53
2010,2,4.95
2010,3,7.24
2010,4,10.77
2010,5,6.78
2010,6,3.55
2010,7,1.81
2010,8,2.12
2010,9,4.35
2010,10,5.86
2010,11,3.05
2010,12,4.49
2011,1,2.29
2011,2,2.01
2011,3,9.81
2011,4,4.87
2011,5,3.92
2011,6,3.09
2011,7,1.33
2011,8,5.73
2011,9,4.26
2011,10,6.46
2011,11,15.23
2011,12,3.37
2012,1,0.23
2012,2,1.58
2012,3,1.9
2012,4,8.92
2012,5,4.93
2012,6,7.32
2012,7,0.91
2012,8,2.07
2012,9,3.58
2012,10,6.06
2012,11,5.33
2012,12,8.01
2013,1,2.21
2013,2,1.26
2013,3,7.58
2013,4,12.63
2013,5,5.04
2013,6,0.94
2013,7,1.05
2013,8,1.99
2013,9,3.71
2013,10,1.9
2013,11,4.84
2013,12,4.61
2014,1,1.02
2014,2,1.32
2014,3,6.34
2014,4,2.61
2014,5,4.23
2014,6,1.48
2014,7,1.25
2014,8,3.85
2014,9,2.4
2014,10,5.26
2014,11,4.27
2014,12,2.85
2015,1,1.22
2015,2,1.23
2015,3,3.97
2015,4,13.16
2015,5,8.25
2015,6,1.74
2015,7,0.92
2015,8,1.07
2015,9,3.31
2015,10,8.75
2015,11,12.11
2015,12,9.95
2016,1,3.98
2016,2,0.9
2016,3,2.76
2016,4,9.65
2016,5,4.27
2016,6,0.91
2016,7,0.92
2016,8,1.06
2016,9,3.11
2016,10,2.26
2016,11,5.05
2016,12,1.16
2017,1,0.75
2017,2,3.3
2017,3,4.71
2017,4,9.02
2017,5,9.44
2017,6,2.17
2017,7,1.32
2017,8,1.63
2017,9,3.4
2017,10,4.06
2017,11,8.29
2017,12,1.86
2018,1,1.2
2018,2,5.35
2018,3,9.63
2018,4,9.86
2018,5,9.94
2018,6,3.55
2018,7,1.12
2018,8,2.95
2018,9,2.09
2018,10,4.97
2018,11,7.27
2018,12,6.31
2019,1,0.98
2019,2,0.96
2019,3,5.42
2019,4,5.29
2019,5,6.47
2019,6,4.36
2019,7,2.91
2019,8,5.16
2019,9,6.09
2019,10,14.9
2019,11,12.43
2019,12,10.74
2020,1,6.31
2020,2,4.61
2020,3,10.36
2020,4,7.82
2020,5,9.39
2020,6,3.95
2020,7,1.8
2020,8,3.77
2020,9,3.6
2020,10,7.72
2020,11,15.44
2020,12,3.42
2021,1,2.84
2021,2,2.27
2021,3,4.35
2021,4,18.5
2021,5,8.5
2021,6,0.99
2021,7,0.84
2021,8,1.7
2021,9,4.05
2021,10,4.97
2021,11,8.88
2021,12,7.86
2022,1,6.83
2022,2,3.37
2022,3,4.68
2022,4,7.37
2022,5,10.33
2022,6,2.83
2022,7,1.43
2022,8,5.24
2022,9,3.6
2022,10,2.51
2022,11,6.48
2022,12,5.35
2023,1,0.85
2023,2,9.26
2023,3,15.72
2023,4,14.84
2023,5,7.82
2023,6,3.1
2023,7,1.17
2023,8,1.71
2023,9,9.07
2023,10,7.9
2023,11,23.05
2023,12,5.89
