year,month,rainfall_mm
1991,1,18.6
1991,2,0.84
1991,3,33.48
1991,4,19.5
1991,5,15.5
1991,6,0.6
1991,7,28.83
1991,8,10.85
1991,9,0.3
1991,10,5.58
1991,11,11.1
1991,12,28.52
1992,1,1.24
1992,2,0.87
1992,3,6.51
1992,4,27.3
1992,5,5.27
1992,6,11.1
1992,7,18.6
1992,8,7.13
1992,9,3.3
1992,10,7.44
1992,11,15.0
1992,12,20.15
1993,1,26.97
1993,2,25.48
1993,3,37.82
1993,4,11.1
1993,5,27.28
1993,6,21.9
1993,7,3.72
1993,8,1.24
1993,9,0.9
1993,10,8.37
1993,11,13.2
1993,12,3.1
1994,1,0.0
1994,2,0.84
1994,3,7.44
1994,4,30.9
1994,5,25.11
1994,6,9.0
1994,7,22.63
1994,8,13.33
1994,9,3.0
1994,10,38.44
1994,11,54.3
1994,12,13.64
1995,1,0.0
1995,2,27.44
1995,3,20.77
1995,4,46.8
1995,5,34.1
1995,6,0.6
1995,7,16.74
1995,8,8.06
1995,9,23.7
1995,10,14.88
1995,11,16.8
1995,12,18.29
1996,1,9.3
1996,2,3.48
1996,3,27.28
1996,4,26.7
1996,5,30.38
1996,6,80.4
1996,7,37.2
1996,8,12.71
1996,9,9.3
1996,10,4.34
1996,11,19.8
1996,12,4.65
1997,1,0.31
1997,2,0.0
1997,3,15.19
1997,4,90.9
1997,5,18.6
1997,6,13.5
1997,7,34.1
1997,8,2.79
1997,9,0.0
1997,10,97.03
1997,11,149.1
1997,12,36.58
1998,1,62.93
1998,2,9.8
1998,3,6.51
1998,4,12.6
1998,5,17.67
1998,6,66.9
1998,7,18.6
1998,8,21.7
1998,9,6.0
1998,10,9.3
1998,11,28.5
1998,12,2.48
1999,1,2.79
1999,2,0.0
1999,3,29.45
1999,4,48.3
1999,5,29.14
1999,6,11.4
1999,7,39.68
1999,8,11.16
1999,9,12.6
1999,10,31.93
1999,11,21.9
1999,12,12.4
2000,1,1.55
2000,2,0.0
2000,3,1.86
2000,4,3.6
2000,5,3.1
2000,6,6.0
2000,7,7.13
2000,8,99.2
2000,9,7.2
2000,10,20.15
2000,11,22.8
2000,12,12.4
2001,1,16.74
2001,2,5.04
2001,3,44.02
2001,4,39.6
2001,5,37.82
2001,6,11.7
2001,7,14.57
2001,8,12.4
2001,9,2.1
2001,10,18.91
2001,11,37.2
2001,12,6.82
2002,1,17.36
2002,2,1.96
2002,3,50.22
2002,4,57.3
2002,5,93.93
2002,6,12.9
2002,7,4.03
2002,8,4.65
2002,9,9.6
2002,10,41.23
2002,11,13.2
2002,12,63.24
2003,1,2.17
2003,2,0.56
2003,3,44.33
2003,4,59.4
2003,5,39.06
2003,6,27.6
2003,7,10.23
2003,8,20.15
2003,9,4.8
2003,10,5.58
2003,11,45.6
2003,12,13.95
2004,1,13.95
2004,2,6.67
2004,3,22.32
2004,4,82.2
2004,5,30.38
2004,6,4.8
2004,7,9.3
2004,8,16.43
2004,9,10.2
2004,10,14.57
2004,11,78.0
2004,12,22.32
2005,1,28.21
2005,2,0.28
2005,3,17.05
2005,4,79.2
2005,5,184.45
2005,6,14.4
2005,7,7.13
2005,8,5.58
2005,9,25.5
2005,10,13.02
2005,11,10.8
2005,12,0.93
2006,1,3.72
2006,2,27.44
2006,3,40.3
2006,4,68.4
2006,5,31.93
2006,6,17.7
2006,7,44.33
2006,8,126.79
2006,9,16.8
2006,10,57.04
2006,11,111.0
2006,12,70.37
2007,1,9.61
2007,2,33.88
2007,3,9.3
2007,4,68.4
2007,5,80.6
2007,6,57.0
2007,7,60.14
2007,8,70.68
2007,9,35.4
2007,10,22.63
2007,11,21.6
2007,12,2.79
2008,1,14.88
2008,2,0.87
2008,3,18.91
2008,4,92.7
2008,5,8.99
2008,6,5.7
2008,7,9.3
2008,8,16.43
2008,9,31.5
2008,10,46.19
2008,11,42.9
2008,12,0.62
2009,1,10.23
2009,2,1.68
2009,3,2.48
2009,4,16.5
2009,5,20.77
2009,6,6.6
2009,7,3.72
2009,8,4.34
2009,9,3.9
2009,10,26.66
2009,11,5.7
2009,12,65.1
2010,1,29.45
2010,2,8.12
2010,3,77.19
2010,4,43.2
2010,5,84.63
2010,6,33.3
2010,7,19.53
2010,8,36.58
2010,9,13.5
2010,10,9.92
2010,11,6.3
2010,12,1.86
2011,1,0.62
2011,2,2.52
2011,3,36.58
