year,month,rainfall_mm
1991,1,48.98
1991,2,7.0
1991,3,111.29
1991,4,84.3
1991,5,303.49
1991,6,134.1
1991,7,283.03
1991,8,246.45
1991,9,115.2
1991,10,181.35
1991,11,94.5
1991,12,48.98
1992,1,12.09
1992,2,14.79
1992,3,22.32
1992,4,250.5
1992,5,194.37
1992,6,239.4
1992,7,301.01
1992,8,264.12
1992,9,201.9
1992,10,256.99
1992,11,58.8
1992,12,68.2
1993,1,97.96
1993,2,23.24
1993,3,20.46
1993,4,81.6
1993,5,382.85
1993,6,213.0
1993,7,171.74
1993,8,177.63
1993,9,106.5
1993,10,75.95
1993,11,112.8
1993,12,53.63
1994,1,3.41
1994,2,17.08
1994,3,66.96
1994,4,251.1
1994,5,314.65
1994,6,179.7
1994,7,308.45
1994,8,297.91
1994,9,90.9
1994,10,123.07
1994,11,234.6
1994,12,56.11
1995,1,31.93
1995,2,56.56
1995,3,89.9
1995,4,196.5
1995,5,281.48
1995,6,117.0
1995,7,274.97
1995,8,150.35
1995,9,182.4
1995,10,200.88
1995,11,205.5
1995,12,73.16
1996,1,26.66
1996,2,35.96
1996,3,144.15
1996,4,139.5
1996,5,221.34
1996,6,196.5
1996,7,194.68
1996,8,198.09
1996,9,164.7
1996,10,109.43
1996,11,118.8
1996,12,17.05
1997,1,13.64
1997,2,0.0
1997,3,105.71
1997,4,366.9
1997,5,73.16
1997,6,170.4
1997,7,172.05
1997,8,186.93
1997,9,16.8
1997,10,301.01
1997,11,257.7
1997,12,150.04
1998,1,189.1
1998,2,42.28
1998,3,28.52
1998,4,112.2
1998,5,214.83
1998,6,155.7
1998,7,239.94
1998,8,193.75
1998,9,82.5
1998,10,171.43
1998,11,133.5
1998,12,11.16
1999,1,23.87
1999,2,1.12
1999,3,148.18
1999,4,210.0
1999,5,220.41
1999,6,190.5
1999,7,213.28
1999,8,148.18
1999,9,93.0
1999,10,207.39
1999,11,94.5
1999,12,44.02
2000,1,7.75
2000,2,7.54
2000,3,15.81
2000,4,126.0
2000,5,172.36
2000,6,108.6
2000,7,146.32
2000,8,214.52
2000,9,163.2
2000,10,191.27
2000,11,87.6
2000,12,49.6
2001,1,79.98
2001,2,15.96
2001,3,115.01
2001,4,181.8
2001,5,208.63
2001,6,142.2
2001,7,177.63
2001,8,172.98
2001,9,173.7
2001,10,232.81
2001,11,185.7
2001,12,27.9
2002,1,52.7
2002,2,24.36
2002,3,117.18
2002,4,227.1
2002,5,145.7
2002,6,92.4
2002,7,82.15
2002,8,182.9
2002,9,94.2
2002,10,270.63
2002,11,128.1
2002,12,137.95
2003,1,49.91
2003,2,10.64
2003,3,77.81
2003,4,334.5
2003,5,186.0
2003,6,186.3
2003,7,162.44
2003,8,252.65
2003,9,101.1
2003,10,155.31
2003,11,117.9
2003,12,97.65
2004,1,66.03
2004,2,21.17
2004,3,87.11
2004,4,275.4
2004,5,130.51
2004,6,113.1
2004,7,120.59
2004,8,186.93
2004,9,129.3
2004,10,147.87
2004,11,132.3
2004,12,73.47
2005,1,58.59
2005,2,36.68
2005,3,52.7
2005,4,141.9
2005,5,249.24
2005,6,79.2
2005,7,159.96
2005,8,159.65
2005,9,123.6
2005,10,141.36
2005,11,78.6
2005,12,7.44
2006,1,18.29
2006,2,33.04
2006,3,85.87
2006,4,230.4
2006,5,129.27
2006,6,70.8
2006,7,90.52
2006,8,101.68
2006,9,154.5
2006,10,201.19
2006,11,275.1
2006,12,141.98
2007,1,39.06
2007,2,72.24
2007,3,35.65
2007,4,189.6
2007,5,267.53
2007,6,115.8
2007,7,167.71
2007,8,163.37
2007,9,252.9
2007,10,168.02
2007,11,52.5
2007,12,37.82
2008,1,21.39
2008,2,73.08
2008,3,147.56
2008,4,168.9
2008,5,188.79
2008,6,121.8
2008,7,119.97
2008,8,168.64
2008,9,166.8
2008,10,273.11
2008,11,162.9
2008,12,6.82
2009,1,42.47
2009,2,16.52
2009,3,52.08
2009,4,178.2
2009,5,202.12
2009,6,50.1
2009,7,101.37
2009,8,114.08
2009,9,138.0
2009,10,175.15
2009,11,68.7
2009,12,189.1
2010,1,74.09
2010,2,171.36
2010,3,193.75
2010,4,272.4
2010,5,323.64
2010,6,107.7
2010,7,174.22
2010,8,170.19
2010,9,189.3
2010,10,176.7
2010,11,100.5
2010,12,36.58
2011,1,10.54
2011,2,23.8
2011,3,143.22
2011,4,177.6
2011,5,296.36
2011,6,157.5
2011,7,132.37
2011,8,284.58
2011,9,182.1
2011,10,251.72
2011,11,337.8
2011,12,53.01
2012,1,1.86
2012,2,20.01
2012,3,37.82
2012,4,368.7
2012,5,269.08
2012,6,184.8
2012,7,133.3
2012,8,231.88
2012,9,216.6
2012,10,191.89
2012,11,224.4
2012,12,146.63
2013,1,37.82
2013,2,8.12
2013,3,172.67
2013,4,315.9
2013,5,191.27
2013,6,75.3
2013,7,118.73
2013,8,256.68
2013,9,230.4
2013,10,210.49
2013,11,151.2
2013,12,86.49
2014,1,8.06
2014,2,34.44
2014,3,80.29
2014,4,103.8
2014,5,248.93
2014,6,122.7
2014,7,163.06
2014,8,225.68
2014,9,149.1
2014,10,301.01
2014,11,126.0
2014,12,61.07
2015,1,1.24
2015,2,28.28
2015,3,64.79
2015,4,226.2
2015,5,218.86
2015,6,220.2
2015,7,134.23
2015,8,119.97
2015,9,137.1
2015,10,166.16
2015,11,220.5
2015,12,147.56
2016,1,67.27
2016,2,15.66
2016,3,69.13
2016,4,334.8
2016,5,255.13
2016,6,217.2
2016,7,239.01
2016,8,180.42
2016,9,167.7
2016,10,100.75
2016,11,103.5
2016,12,15.81
2017,1,53.94
2017,2,97.44
2017,3,104.78
2017,4,103.5
2017,5,251.1
2017,6,114.3
2017,7,242.73
2017,8,299.77
2017,9,308.4
2017,10,221.03
2017,11,164.4
2017,12,18.91
2018,1,13.02
2018,2,64.4
2018,3,204.29
2018,4,465.0
2018,5,416.02
2018,6,304.5
2018,7,218.86
2018,8,206.46
2018,9,115.2
2018,10,158.41
2018,11,78.6
2018,12,115.32
2019,1,26.04
2019,2,30.8
2019,3,59.83
2019,4,166.8
2019,5,189.41
2019,6,354.9
2019,7,230.64
2019,8,380.37
2019,9,210.0
2019,10,260.4
2019,11,197.4
2019,12,210.18
2020,1,129.89
2020,2,101.79
2020,3,267.53
2020,4,441.9
2020,5,306.59
2020,6,430.8
2020,7,330.15
2020,8,448.88
2020,9,492.9
2020,10,242.11
2020,11,195.0
2020,12,63.86
2021,1,88.04
2021,2,39.76
2021,3,59.83
2021,4,166.8
2021,5,305.35
